id,date,theme,text,category
817,2025-01-17,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Прошу срочно решить проблему.,Качество товара
603,2025-01-19,Счет,Не могу получить счет на заказ. Поддержка тоже не помогла.,Документы
270,2025-01-19,Повреждение,Заказ приехал с поврежденной упаковкой.,Доставка
605,2025-01-20,Повреждение,"Заказ приехал с поврежденной упаковкой. Надеюсь, вопрос получится быстро решить.",Доставка
562,2025-01-20,Курьер,Курьер не приехал в назначенное время и не позвонил. Поддержка тоже не помогла.,Доставка
109,2025-01-20,Не начислены бонусы,За покупку не начислили обещанные бонусы.,Бонусная программа
457,2025-01-20,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Это уже не первый раз.",Оплата
877,2025-01-21,Скидка,Обещанная скидка не применилась при оформлении заказа. Прошу помочь разобраться.,Цена
674,2025-01-21,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Поддержка тоже не помогла.",Цена
944,2025-01-22,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Цена
392,2025-01-22,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Если вопрос не решится, больше у вас покупать не буду.",Качество товара
416,2025-01-22,Несоответствие,Товар совсем не соответствует описанию на сайте. Очень недоволен этой ситуацией.,Качество товара
814,2025-01-22,История заказов,В личном кабинете пропала история моих заказов. Прошу помочь разобраться.,Личный кабинет
589,2025-01-22,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата
119,2025-01-23,Ошибка приложения,После обновления приложение перестало запускаться. Прошу помочь разобраться.,Мобильное приложение
781,2025-01-23,Не начислены бонусы,За покупку не начислили обещанные бонусы.,Бонусная программа
655,2025-01-23,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Прошу помочь разобраться.",Возвраты
900,2025-01-24,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Если вопрос не решится, больше у вас покупать не буду.",Качество товара
717,2025-01-24,Промокод,"Промокод указан как действующий, но система его не принимает. Если вопрос не решится, больше у вас покупать не буду.",Цена
65,2025-01-26,Ошибка приложения,После обновления приложение перестало запускаться.,Мобильное приложение
164,2025-01-26,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата
594,2025-01-26,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Очень недоволен этой ситуацией.",Мобильное приложение
364,2025-01-27,Документы,В документах к заказу указаны неверные данные.,Документы
60,2025-01-28,Ошибка приложения,После обновления приложение перестало запускаться.,Мобильное приложение
207,2025-01-28,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка
634,2025-01-29,Несоответствие,"Товар совсем не соответствует описанию на сайте. Подскажите, пожалуйста, как решить эту проблему.",Качество товара
968,2025-01-29,Двойное списание,С карты дважды списали деньги за один заказ.,Оплата
412,2025-01-30,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили.",Возвраты
71,2025-01-30,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка
44,2025-01-30,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата
74,2025-01-30,Чек,Не получил электронный чек после покупки. Прошу срочно решить проблему.,Документы
695,2025-01-31,Брак,Получил товар с явным браком. Прошу срочно решить проблему.,Качество товара
951,2025-02-01,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Доставка
153,2025-02-01,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Подскажите, пожалуйста, как решить эту проблему.",Оплата
331,2025-02-01,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат.",Возвраты
578,2025-02-01,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Прошу помочь разобраться.",Мобильное приложение
464,2025-02-02,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Надеюсь, вопрос получится быстро решить.",Доставка
51,2025-02-02,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Прошу помочь разобраться.,Возвраты
344,2025-02-02,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Прошу помочь разобраться.,Качество товара
319,2025-02-02,Долгое ожидание,"Очень долго ждал ответа оператора. Если вопрос не решится, больше у вас покупать не буду.",Поддержка
24,2025-02-03,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата
942,2025-02-03,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Поддержка тоже не помогла.",Доставка
473,2025-02-04,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Очень недоволен этой ситуацией.,Возвраты
260,2025-02-05,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата
640,2025-02-05,Счет,Не могу получить счет на заказ.,Документы
85,2025-02-05,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
82,2025-02-07,Повреждение,"Заказ приехал с поврежденной упаковкой. Надеюсь, вопрос получится быстро решить.",Доставка
411,2025-02-07,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата
509,2025-02-07,Несоответствие,"Товар совсем не соответствует описанию на сайте. Хотелось бы понять, что делать дальше.",Качество товара
732,2025-02-07,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Подскажите, пожалуйста, как решить эту проблему.",Доставка
64,2025-02-08,Несоответствие,Товар совсем не соответствует описанию на сайте.,Качество товара
221,2025-02-08,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Хотелось бы понять, что делать дальше.",Доставка
98,2025-02-08,Промокод,"Промокод указан как действующий, но система его не принимает. Если вопрос не решится, больше у вас покупать не буду.",Цена
997,2025-02-08,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка
726,2025-02-08,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Надеюсь, вопрос получится быстро решить.",Возвраты
274,2025-02-08,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно.,Качество товара
435,2025-02-09,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Прошу помочь разобраться.",Оплата
904,2025-02-09,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Прошу помочь разобраться.",Поддержка
393,2025-02-09,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Подскажите, пожалуйста, как решить эту проблему.",Бонусная программа
399,2025-02-10,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Это уже не первый раз.",Возвраты
491,2025-02-10,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата
671,2025-02-10,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
350,2025-02-11,Двойное списание,С карты дважды списали деньги за один заказ.,Оплата
427,2025-02-11,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Если вопрос не решится, больше у вас покупать не буду.",Поддержка
220,2025-02-11,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Доставка
233,2025-02-11,Долгое ожидание,Очень долго ждал ответа оператора. Это уже не первый раз.,Поддержка
450,2025-02-12,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Личный кабинет
379,2025-02-13,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Цена
921,2025-02-13,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка
193,2025-02-13,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Хотелось бы понять, что делать дальше.",Оплата
777,2025-02-13,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока.,Доставка
187,2025-02-14,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата
510,2025-02-14,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Очень недоволен этой ситуацией.,Бонусная программа
908,2025-02-14,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка
818,2025-02-14,Брак,Получил товар с явным браком. Поддержка тоже не помогла.,Качество товара
855,2025-02-15,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
986,2025-02-15,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Очень недоволен этой ситуацией.,Бонусная программа
280,2025-02-16,Брак,Получил товар с явным браком. Поддержка тоже не помогла.,Качество товара
313,2025-02-16,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
633,2025-02-16,Скидка,Обещанная скидка не применилась при оформлении заказа. Поддержка тоже не помогла.,Цена
834,2025-02-17,История заказов,В личном кабинете пропала история моих заказов. Очень недоволен этой ситуацией.,Личный кабинет
10,2025-02-17,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу срочно решить проблему.",Возвраты
254,2025-02-17,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Хотелось бы понять, что делать дальше.",Оплата
529,2025-02-17,Брак,"Получил товар с явным браком. Надеюсь, вопрос получится быстро решить.",Качество товара
850,2025-02-18,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Доставка
357,2025-02-18,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Очень недоволен этой ситуацией.,Оплата
559,2025-02-19,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу помочь разобраться.",Возвраты
302,2025-02-19,Промокод,"Промокод указан как действующий, но система его не принимает.",Цена
683,2025-02-20,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Хотелось бы понять, что делать дальше.",Бонусная программа
83,2025-02-21,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Доставка
975,2025-02-21,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили.",Возвраты
271,2025-02-21,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
449,2025-02-22,Ошибка приложения,После обновления приложение перестало запускаться.,Мобильное приложение
103,2025-02-22,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Если вопрос не решится, больше у вас покупать не буду.",Возвраты
791,2025-02-22,Профиль,Не получается изменить номер телефона в профиле.,Личный кабинет
403,2025-02-22,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока.,Доставка
39,2025-02-24,Скидка,Обещанная скидка не применилась при оформлении заказа. Прошу срочно решить проблему.,Цена
398,2025-02-24,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Прошу помочь разобраться.",Оплата
606,2025-02-24,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
749,2025-02-24,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Подскажите, пожалуйста, как решить эту проблему.",Доставка
139,2025-02-24,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
367,2025-02-25,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения.,Возвраты
175,2025-02-25,Долгое ожидание,"Очень долго ждал ответа оператора. Надеюсь, вопрос получится быстро решить.",Поддержка
349,2025-02-25,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно.,Качество товара
116,2025-02-25,Долгое ожидание,Очень долго ждал ответа оператора. Это уже не первый раз.,Поддержка
989,2025-02-25,Ошибка приложения,"После обновления приложение перестало запускаться. Подскажите, пожалуйста, как решить эту проблему.",Мобильное приложение
553,2025-02-25,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Это уже не первый раз.,Качество товара
575,2025-02-26,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Доставка
31,2025-02-26,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Поддержка тоже не помогла.,Доставка
973,2025-02-26,Списание бонусов,Не получается использовать накопленные бонусы при оплате.,Бонусная программа
610,2025-02-27,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Хотелось бы понять, что делать дальше.",Возвраты
651,2025-02-27,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Надеюсь, вопрос получится быстро решить.",Доставка
504,2025-02-28,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Хотелось бы понять, что делать дальше.",Доставка
758,2025-02-28,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Надеюсь, вопрос получится быстро решить.",Цена
368,2025-02-28,Профиль,Не получается изменить номер телефона в профиле.,Личный кабинет
35,2025-02-28,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Поддержка тоже не помогла.",Мобильное приложение
813,2025-02-28,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Прошу помочь разобраться.,Оплата
174,2025-02-28,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
227,2025-02-28,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами.,Поддержка
310,2025-02-28,Брак,Получил товар с явным браком.,Качество товара
245,2025-03-01,Счет,Не могу получить счет на заказ. Прошу срочно решить проблему.,Документы
90,2025-03-01,Промокод,"Промокод указан как действующий, но система его не принимает. Прошу помочь разобраться.",Цена
678,2025-03-02,История заказов,"В личном кабинете пропала история моих заказов. Если вопрос не решится, больше у вас покупать не буду.",Личный кабинет
892,2025-03-02,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
255,2025-03-02,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Хотелось бы понять, что делать дальше.",Поддержка
888,2025-03-03,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Это уже не первый раз.,Доставка
853,2025-03-03,Счет,Не могу получить счет на заказ. Это уже не первый раз.,Документы
931,2025-03-03,Курьер,Курьер не приехал в назначенное время и не позвонил. Прошу срочно решить проблему.,Доставка
842,2025-03-05,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Хотелось бы понять, что делать дальше.",Цена
863,2025-03-05,Долгое ожидание,Очень долго ждал ответа оператора.,Поддержка
524,2025-03-05,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно.,Качество товара
351,2025-03-06,Возврат денег,"Деньги после отмены заказа до сих пор не вернулись. Подскажите, пожалуйста, как решить эту проблему.",Оплата
499,2025-03-06,Курьер,Курьер не приехал в назначенное время и не позвонил.,Доставка
343,2025-03-06,Профиль,Не получается изменить номер телефона в профиле.,Личный кабинет
528,2025-03-06,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Прошу помочь разобраться.,Поддержка
46,2025-03-06,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Прошу помочь разобраться.",Доставка
943,2025-03-07,Курьер,Курьер не приехал в назначенное время и не позвонил.,Доставка
125,2025-03-07,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Очень недоволен этой ситуацией.",Доставка
431,2025-03-07,Ошибка приложения,После обновления приложение перестало запускаться. Очень недоволен этой ситуацией.,Мобильное приложение
523,2025-03-08,Брак,Получил товар с явным браком. Прошу срочно решить проблему.,Качество товара
361,2025-03-08,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Прошу помочь разобраться.,Поддержка
854,2025-03-09,Брак,"Получил товар с явным браком. Подскажите, пожалуйста, как решить эту проблему.",Качество товара
851,2025-03-09,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Очень недоволен этой ситуацией.,Поддержка
142,2025-03-10,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Прошу помочь разобраться.,Бонусная программа
624,2025-03-10,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Это уже не первый раз.,Качество товара
150,2025-03-12,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Это уже не первый раз.",Доставка
801,2025-03-12,Долгое ожидание,Очень долго ждал ответа оператора.,Поддержка
697,2025-03-12,Не начислены бонусы,За покупку не начислили обещанные бонусы.,Бонусная программа
744,2025-03-13,Возврат денег,"Деньги после отмены заказа до сих пор не вернулись. Хотелось бы понять, что делать дальше.",Оплата
515,2025-03-13,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата
458,2025-03-13,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Личный кабинет
321,2025-03-13,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал.",Доставка
938,2025-03-13,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Прошу срочно решить проблему.",Доставка
800,2025-03-14,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Надеюсь, вопрос получится быстро решить.",Качество товара
375,2025-03-14,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
273,2025-03-15,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения.,Возвраты
374,2025-03-15,Долгое ожидание,Очень долго ждал ответа оператора.,Поддержка
26,2025-03-15,Двойное списание,С карты дважды списали деньги за один заказ. Это уже не первый раз.,Оплата
539,2025-03-15,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Это уже не первый раз.,Оплата
745,2025-03-16,Адрес доставки,"Курьер сообщил, что не может найти мой адрес.",Доставка
686,2025-03-16,Повреждение,"Заказ приехал с поврежденной упаковкой. Если вопрос не решится, больше у вас покупать не буду.",Доставка
828,2025-03-16,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Поддержка тоже не помогла.",Мобильное приложение
138,2025-03-17,Ошибка приложения,"После обновления приложение перестало запускаться. Если вопрос не решится, больше у вас покупать не буду.",Мобильное приложение
337,2025-03-17,Профиль,Не получается изменить номер телефона в профиле.,Личный кабинет
705,2025-03-18,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Прошу срочно решить проблему.,Оплата
901,2025-03-18,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Прошу помочь разобраться.",Доставка
213,2025-03-18,Списание бонусов,Не получается использовать накопленные бонусы при оплате.,Бонусная программа
99,2025-03-18,Долгое ожидание,"Очень долго ждал ответа оператора. Надеюсь, вопрос получится быстро решить.",Поддержка
418,2025-03-19,Счет,Не могу получить счет на заказ.,Документы
501,2025-03-20,Корзина,"Добавляю товар в корзину, но он сразу исчезает.",Мобильное приложение
151,2025-03-20,Ошибка приложения,"После обновления приложение перестало запускаться. Подскажите, пожалуйста, как решить эту проблему.",Мобильное приложение
688,2025-03-20,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Подскажите, пожалуйста, как решить эту проблему.",Доставка
366,2025-03-21,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Прошу срочно решить проблему.",Мобильное приложение
928,2025-03-21,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Хотелось бы понять, что делать дальше.",Доставка
91,2025-03-21,Двойное списание,С карты дважды списали деньги за один заказ. Это уже не первый раз.,Оплата
9,2025-03-21,Возврат денег,Деньги после отмены заказа до сих пор не вернулись.,Оплата
86,2025-03-22,Несоответствие,Товар совсем не соответствует описанию на сайте. Это уже не первый раз.,Качество товара
976,2025-03-22,История заказов,В личном кабинете пропала история моих заказов. Поддержка тоже не помогла.,Личный кабинет
897,2025-03-22,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Если вопрос не решится, больше у вас покупать не буду.",Оплата
37,2025-03-22,Несоответствие,"Товар совсем не соответствует описанию на сайте. Если вопрос не решится, больше у вас покупать не буду.",Качество товара
845,2025-03-23,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
960,2025-03-23,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока.,Доставка
145,2025-03-23,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Личный кабинет
8,2025-03-23,Корзина,"Добавляю товар в корзину, но он сразу исчезает.",Мобильное приложение
545,2025-03-23,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Это уже не первый раз.,Бонусная программа
525,2025-03-24,Двойное списание,С карты дважды списали деньги за один заказ.,Оплата
565,2025-03-25,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Это уже не первый раз.,Возвраты
783,2025-03-26,Промокод,"Промокод указан как действующий, но система его не принимает.",Цена
308,2025-03-26,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Поддержка тоже не помогла.",Оплата
160,2025-03-26,Не начислены бонусы,"За покупку не начислили обещанные бонусы. Надеюсь, вопрос получится быстро решить.",Бонусная программа
47,2025-03-26,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке.",Оплата
229,2025-03-26,Профиль,Не получается изменить номер телефона в профиле. Это уже не первый раз.,Личный кабинет
809,2025-03-27,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Поддержка тоже не помогла.",Доставка
803,2025-03-27,Брак,Получил товар с явным браком.,Качество товара
282,2025-03-27,Ошибка приложения,После обновления приложение перестало запускаться.,Мобильное приложение
131,2025-03-28,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Прошу помочь разобраться.",Мобильное приложение
396,2025-03-29,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Хотелось бы понять, что делать дальше.",Бонусная программа
20,2025-03-29,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка
